TITLE="Graphics"
VARIABLES= "x", "rho", "v_phi", "v_z", "p", "e", "H_phi", "H_z"
ZONE T="zone", I=101, F=POINT
0.82 0.31193 0 1.41146 0.0714571 0.280858 0.31193 0
0.83 0.304368 0 1.42183 0.0685879 0.275621 0.304368 0
0.84 0.297003 0 1.4319 0.0658387 0.270485 0.297003 0
0.85 0.289836 0 1.44166 0.0632068 0.265453 0.289836 0
0.86 0.282867 0 1.4511 0.0606895 0.260532 0.282867 0
0.87 0.2761 0 1.46022 0.0582841 0.255726 0.2761 0
0.88 0.269534 0 1.46901 0.055988 0.251044 0.269534 0
0.89 0.263173 0 1.47746 0.0537987 0.246498 0.263173 0
0.9 0.257017 0 1.48554 0.0517138 0.2421 0.257017 0
0.91 0.25107 0 1.49323 0.0497311 0.237869 0.25107 0
0.92 0.245335 0 1.50051 0.0478485 0.23383 0.245335 0
0.93 0.239814 0 1.50733 0.0460638 0.230014 0.239814 0
0.94 0.234509 0 1.51363 0.0443749 0.226465 0.234509 0
0.95 0.229423 0 1.51934 0.0427792 0.223238 0.229423 0
0.96 0.224553 0 1.52434 0.0412735 0.220406 0.224553 0
0.97 0.219893 0 1.5285 0.0398532 0.218063 0.219893 0
0.98 0.215429 0 1.53161 0.0385114 0.216332 0.215429 0
0.99 0.211133 0 1.53337 0.0372375 0.215368 0.211133 0
1 0.206953 0 1.53337 0.0360144 0.215368 0.206953 0
